Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1287633,-,-,-,46.45,-72.66,-5,90,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,5,1,0,0,0,0,0,0,0,0,8,1,118.35,0,0.124,0.5,2.774,62.4,100,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,0,30,0,0,0,0,0,0,8,1,117.67,0,0.124,0.5,2.784,62.4,100,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,1,0,0,0,0,0,0,0,8,1,116.28,0,0.124,0.5,2.795,56,100,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,1,30,0,0,0,0,0,0,6,1,114.23,0,0.124,0.5,2.815,56,100,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,2,0,0,0,0,0,0,0,6,0,111.58,0,0.124,0.6,2.835,54.4,99.81,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,2,30,0,0,0,0,0,0,6,0,108.39,0,0.124,0.6,2.873,54.4,99.76,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,3,0,0,0,0,0,0,0,6,0,104.75,0,0.124,0.6,2.911,52.6,99.45,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,3,30,0,0,0,0,0,0,8,0,100.73,0,0.124,0.6,2.936,52.6,99.42,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,4,0,0,0,0,0,0,0,8,0,96.39,0,0.124,0.6,2.962,49.7,99.97,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,4,30,0,0,0,0,0,0,8,0,91.79,0,0.124,0.6,2.95,49.7,99.97,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,5,0,0,0,0,18,38,20,8,1,86.98,4,0.124,0.6,2.939,56.8,100,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,5,30,2,0,2,56,157,78,8,1,82.02,4,0.124,0.6,2.961,56.8,100,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,6,0,4,0,4,89,280,152,8,1,76.95,4,0.124,0.6,2.983,64.4,100,1,1000,0.1926,0.1475,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,6,30,7,0,7,116,380,234,8,1,71.81,0,0.124,0.6,3.011,64.4,100,1,1000,0.3525,0.2723,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,7,0,33,0,33,147,427,316,8,1,66.64,0,0.124,0.6,3.04,68.2,100,1,1000,1.7382,1.351,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,7,30,72,0,72,166,491,401,8,1,61.49,0,0.124,0.5,3.062,68.2,100,1,1000,3.9337,3.0696,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,8,0,126,0,126,185,535,482,8,1,56.41,0,0.124,0.5,3.085,69,99.18,2,1000,7.0823,5.5413,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,8,30,156,0,156,199,577,558,8,1,51.47,0,0.124,0.5,3.093,69,99.16,2,1000,8.962,7.0248,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,9,0,162,1,163,216,599,626,8,2,46.75,0,0.124,0.5,3.102,71.7,98.02,3,1000,9.5216,7.473,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,9,30,194,6,198,225,626,687,8,2,42.35,0,0.124,0.5,3.118,71.7,97.98,3,990,11.7134,9.2016,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,10,0,204,7,210,248,618,733,8,3,38.42,0,0.124,0.5,3.135,74.1,95.85,4,990,12.5404,9.8576,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,10,30,226,10,234,254,633,772,8,3,35.14,0,0.124,0.5,3.155,74.1,95.82,4,990,14.0671,11.0626,,,,,,,,,,,,,,,,,,,,,,
