deviceKey,value,variable,standardtime (UTC-5)
T04,19.89,TEMP,2018-01-31 23:58
T09,266,Wh,2018-02-01 0:00
T07,553,Wh,2018-02-01 0:00
T06,915,Wh,2018-02-01 0:00
T05,1350,Wh,2018-02-01 0:00
T10,0,Wh,2018-02-01 0:00
T02,86,Wh,2018-02-01 0:00
T11,0,Wh,2018-02-01 0:00
T12,0,Wh,2018-02-01 0:00
T03,0,Wh,2018-02-01 0:00
T01,0,Wh,2018-02-01 0:00
T04,0,Wh,2018-02-01 0:00
T02,86,Wh,2018-02-01 0:00
T10,0,Wh,2018-02-01 0:00
T08,0,Wh,2018-02-01 0:00
T08,0,Wh,2018-02-01 0:00
T06,915,Wh,2018-02-01 0:00
T07,553,Wh,2018-02-01 0:00
T09,266,Wh,2018-02-01 0:00
T11,0,Wh,2018-02-01 0:00
T12,0,Wh,2018-02-01 0:00
T01,0,Wh,2018-02-01 0:00
T04,0,Wh,2018-02-01 0:00
T05,1350,Wh,2018-02-01 0:00
T03,0,Wh,2018-02-01 0:00
T09,17,SET,2018-02-01 0:01
T09,17,SET,2018-02-01 0:01
T09,21.54,TEMP,2018-02-01 0:01
T09,21.54,TEMP,2018-02-01 0:01
T07,21.44,TEMP,2018-02-01 0:01
T07,21.44,TEMP,2018-02-01 0:01
T07,17,SET,2018-02-01 0:01
T07,17,SET,2018-02-01 0:01
T06,17,SET,2018-02-01 0:02
T06,21.43,TEMP,2018-02-01 0:02
T06,17,SET,2018-02-01 0:02
T06,21.43,TEMP,2018-02-01 0:02
T11,17,SET,2018-02-01 0:02
T11,21.78,TEMP,2018-02-01 0:02
T11,17,SET,2018-02-01 0:02
T11,21.78,TEMP,2018-02-01 0:02
T05,17,SET,2018-02-01 0:02
T05,17,SET,2018-02-01 0:02
T05,21.45,TEMP,2018-02-01 0:02
T05,21.45,TEMP,2018-02-01 0:02
T10,17,SET,2018-02-01 0:02
T10,19.15,TEMP,2018-02-01 0:02
T10,19.15,TEMP,2018-02-01 0:02
T10,17,SET,2018-02-01 0:02
T02,16.01,TEMP,2018-02-01 0:02
T02,16,SET,2018-02-01 0:02
T02,16.01,TEMP,2018-02-01 0:02
T02,16,SET,2018-02-01 0:02
T04,17,SET,2018-02-01 0:02
T04,19.76,TEMP,2018-02-01 0:02
T04,17,SET,2018-02-01 0:02
T04,19.76,TEMP,2018-02-01 0:02
T01,19.56,TEMP,2018-02-01 0:02
T01,17,SET,2018-02-01 0:02
T01,19.56,TEMP,2018-02-01 0:02
T01,17,SET,2018-02-01 0:02
T03,18.81,TEMP,2018-02-01 0:02
